Round,Client_ID,Train_Acc,Test_Acc
1,1,0.8046000003814697,0.7432000041007996
1,3,0.7768999934196472,0.7184000015258789
1,2,0.7904999852180481,0.7368000149726868
1,0,0.7745000123977661,0.7056000232696533
2,3,0.9056000113487244,0.8051999807357788
2,1,0.8812999725341797,0.7975999712944031
2,2,0.8877000212669373,0.8044000267982483
2,0,0.8784999847412109,0.7784000039100647
3,3,0.8870000243186951,0.8023999929428101
3,1,0.9121999740600586,0.8203999996185303
3,2,0.9031000137329102,0.8240000009536743
3,0,0.9010000228881836,0.8040000200271606
4,3,0.9085999727249146,0.8203999996185303
4,0,0.9559000134468079,0.857200026512146
4,1,0.9110000133514404,0.8163999915122986
4,2,0.9340999722480774,0.8407999873161316
5,3,0.961899995803833,0.8687999844551086
5,2,0.9280999898910522,0.8392000198364258
5,1,0.9466999769210815,0.8507999777793884
5,0,0.9519000053405762,0.840399980545044
6,3,0.9535999894142151,0.8528000116348267
6,0,0.9549999833106995,0.8564000129699707
6,1,0.9351999759674072,0.8443999886512756
6,2,0.9580000042915344,0.871999979019165
7,1,0.9466000199317932,0.8564000129699707
7,0,0.9584000110626221,0.8604000210762024
7,2,0.9678999781608582,0.8715999722480774
7,3,0.9495999813079834,0.8496000170707703
8,3,0.9585000276565552,0.8503999710083008
8,1,0.9538999795913696,0.8587999939918518
8,2,0.9668999910354614,0.8651999831199646
8,0,0.9761999845504761,0.8695999979972839
9,3,0.9739000201225281,0.8715999722480774
9,2,0.9584000110626221,0.8679999709129333
9,0,0.9786999821662903,0.8704000115394592
9,1,0.9585000276565552,0.8592000007629395
10,3,0.9740999937057495,0.8655999898910522
10,0,0.9765999913215637,0.8787999749183655
10,2,0.9735999703407288,0.8791999816894531
10,1,0.9746000170707703,0.8835999965667725
11,3,0.9887999892234802,0.8888000249862671
11,1,0.9883999824523926,0.901199996471405
11,0,0.9735000133514404,0.8820000290870667
11,2,0.9850000143051147,0.8835999965667725
12,1,0.9872999787330627,0.8948000073432922
12,3,0.9836999773979187,0.8840000033378601
12,2,0.9800000190734863,0.8784000277519226
12,0,0.9936000108718872,0.8984000086784363
13,3,0.995199978351593,0.8952000141143799
13,2,0.9976999759674072,0.9168000221252441
13,1,0.9902999997138977,0.9031999707221985
13,0,0.9682000279426575,0.8640000224113464
14,3,0.9918000102043152,0.8907999992370605
14,2,0.9907000064849854,0.8967999815940857
14,1,0.9807000160217285,0.8840000033378601
14,0,0.9901000261306763,0.896399974822998
15,0,0.9835000038146973,0.8924000263214111
15,2,0.98089998960495,0.8808000087738037
15,3,0.9998999834060669,0.9243999719619751
15,1,0.9950000047683716,0.9007999897003174
16,1,0.9715999960899353,0.8723999857902527
16,2,0.9787999987602234,0.8791999816894531
16,3,0.9876000285148621,0.8888000249862671
16,0,0.9993000030517578,0.9223999977111816
