Round,Client_ID,Train_Acc,Test_Acc
1,0,0.46399998664855957,0.40720000863075256
1,2,0.4316999912261963,0.38679999113082886
1,3,0.4733999967575073,0.43160000443458557
1,1,0.4740000069141388,0.4275999963283539
2,0,0.5349000096321106,0.46639999747276306
2,1,0.453900009393692,0.41359999775886536
2,3,0.5188000202178955,0.4603999853134155
2,2,0.52920001745224,0.4636000096797943
3,0,0.6819000244140625,0.5896000266075134
3,3,0.6291999816894531,0.5508000254631042
3,1,0.6011999845504761,0.5324000120162964
3,2,0.6176999807357788,0.5424000024795532
4,0,0.6859999895095825,0.590399980545044
4,2,0.6739000082015991,0.5848000049591064
4,1,0.6758999824523926,0.5888000130653381
4,3,0.7178999781608582,0.6092000007629395
5,0,0.7584999799728394,0.6272000074386597
5,3,0.7702999711036682,0.63919997215271
5,1,0.7821000218391418,0.652400016784668
5,2,0.7746999859809875,0.6424000263214111
6,0,0.8424999713897705,0.6704000234603882
6,1,0.8007000088691711,0.656000018119812
6,2,0.8271999955177307,0.6743999719619751
6,3,0.8418999910354614,0.6715999841690063
7,1,0.7551000118255615,0.5992000102996826
7,0,0.864799976348877,0.6747999787330627
7,2,0.82669997215271,0.6740000247955322
7,3,0.7795000076293945,0.6208000183105469
8,0,0.7878000140190125,0.6276000142097473
8,2,0.8737999796867371,0.6800000071525574
8,1,0.8493000268936157,0.6496000289916992
8,3,0.8022000193595886,0.6159999966621399
9,2,0.8780999779701233,0.670799970626831
9,3,0.9226999878883362,0.7008000016212463
9,0,0.8587999939918518,0.6531999707221985
9,1,0.8398000001907349,0.6295999884605408
10,0,0.8949999809265137,0.6715999841690063
10,1,0.8831999897956848,0.6796000003814697
10,2,0.9028000235557556,0.699999988079071
10,3,0.9146000146865845,0.6836000084877014
