Round,Client_ID,Train_Acc,Test_Acc
1,0,0.8151999711990356,0.7519999742507935
1,1,0.8429499864578247,0.7964000105857849
2,1,0.9293500185012817,0.857200026512146
2,0,0.9068999886512756,0.8306000232696533
3,0,0.9284999966621399,0.849399983882904
3,1,0.9401500225067139,0.8614000082015991
4,1,0.9690499901771545,0.8830000162124634
4,0,0.9469500184059143,0.8614000082015991
5,0,0.9684500098228455,0.8805999755859375
5,1,0.9622499942779541,0.8676000237464905
6,0,0.9824000000953674,0.8889999985694885
6,1,0.968500018119812,0.8763999938964844
7,1,0.9700499773025513,0.8727999925613403
7,0,0.9811499714851379,0.8830000162124634
8,1,0.9862499833106995,0.8912000060081482
8,0,0.9775000214576721,0.8748000264167786
9,0,0.9836000204086304,0.8791999816894531
9,1,0.9674999713897705,0.8695999979972839
10,1,0.9777500033378601,0.8762000203132629
10,0,0.9846500158309937,0.8885999917984009
11,0,0.9805499911308289,0.8722000122070312
11,1,0.9964500069618225,0.8988000154495239
12,1,0.9948499798774719,0.8966000080108643
12,0,0.9930499792098999,0.8960000276565552
13,1,0.996649980545044,0.9038000106811523
13,0,0.9989500045776367,0.9097999930381775
14,1,0.9975500106811523,0.9115999937057495
14,0,0.9981499910354614,0.9056000113487244
15,0,0.9994500279426575,0.9132000207901001
15,1,0.9978500008583069,0.9129999876022339
16,1,0.9993500113487244,0.9169999957084656
16,0,0.9995999932289124,0.9118000268936157
