Round,Client_ID,Train_Acc,Test_Acc
1,0,0.4745999872684479,0.4228000044822693
1,2,0.4417000114917755,0.3952000141143799
1,1,0.4530999958515167,0.41440001130104065
1,3,0.46880000829696655,0.4323999881744385
2,3,0.5299000144004822,0.4724000096321106
2,2,0.5601000189781189,0.49559998512268066
2,1,0.531499981880188,0.4564000070095062
2,0,0.5218999981880188,0.4880000054836273
3,0,0.6141999959945679,0.5335999727249146
3,3,0.6031000018119812,0.5375999808311462
3,2,0.6338000297546387,0.5667999982833862
3,1,0.6428999900817871,0.5716000199317932
4,2,0.6919000148773193,0.5795999765396118
4,1,0.6571000218391418,0.5767999887466431
4,3,0.6798999905586243,0.5631999969482422
4,0,0.7009999752044678,0.6039999723434448
5,2,0.738099992275238,0.621999979019165
5,0,0.7597000002861023,0.6284000277519226
5,3,0.7990000247955322,0.6571999788284302
5,1,0.7591000199317932,0.6259999871253967
6,2,0.8057000041007996,0.6456000208854675
6,1,0.8331999778747559,0.6679999828338623
6,3,0.7993000149726868,0.6335999965667725
6,0,0.7843000292778015,0.6295999884605408
7,1,0.8532999753952026,0.6679999828338623
7,3,0.8431000113487244,0.6507999897003174
7,2,0.7860000133514404,0.6312000155448914
7,0,0.7990999817848206,0.647599995136261
8,0,0.9031999707221985,0.6955999732017517
8,3,0.8495000004768372,0.6467999815940857
8,1,0.8622999787330627,0.6643999814987183
8,2,0.8032000064849854,0.6119999885559082
9,1,0.8866999745368958,0.6600000262260437
9,0,0.917900025844574,0.7008000016212463
9,2,0.9090999960899353,0.7067999839782715
9,3,0.8144999742507935,0.6259999871253967
10,1,0.9003999829292297,0.6923999786376953
10,3,0.8370000123977661,0.6140000224113464
10,2,0.8956999778747559,0.6620000004768372
10,0,0.8928999900817871,0.676800012588501
11,2,0.8812999725341797,0.6460000276565552
11,1,0.9387999773025513,0.7071999907493591
11,0,0.8720999956130981,0.6503999829292297
11,3,0.9329000115394592,0.6959999799728394
12,2,0.8723000288009644,0.659600019454956
12,3,0.8989999890327454,0.6575999855995178
12,0,0.9344000220298767,0.6984000205993652
12,1,0.9121999740600586,0.6812000274658203
13,1,0.9142000079154968,0.6976000070571899
13,3,0.879800021648407,0.6552000045776367
13,0,0.8791999816894531,0.6687999963760376
13,2,0.9243999719619751,0.6923999786376953
14,2,0.8432000279426575,0.6380000114440918
14,1,0.9501000046730042,0.7196000218391418
14,0,0.8806999921798706,0.6496000289916992
14,3,0.9254000186920166,0.6772000193595886
15,0,0.9373000264167786,0.7075999975204468
15,2,0.8712999820709229,0.6284000277519226
15,3,0.9394999742507935,0.6904000043869019
15,1,0.9314000010490417,0.692799985408783
