Round,Client_ID,Train_Acc,Test_Acc
1,2,0.41130000352859497,0.39399999380111694
1,1,0.42329999804496765,0.3968000113964081
1,0,0.39309999346733093,0.3763999938964844
1,3,0.4027999937534332,0.3903999924659729
2,1,0.5511000156402588,0.5044000148773193
2,2,0.5494999885559082,0.5220000147819519
2,0,0.5304999947547913,0.4943999946117401
2,3,0.4442000091075897,0.40799999237060547
3,3,0.560699999332428,0.5303999781608582
3,1,0.6010000109672546,0.5504000186920166
3,2,0.5611000061035156,0.49559998512268066
3,0,0.5666999816894531,0.5171999931335449
4,2,0.6632999777793884,0.6019999980926514
4,1,0.656000018119812,0.5843999981880188
4,3,0.6208000183105469,0.5356000065803528
4,0,0.6266999840736389,0.5568000078201294
5,2,0.7605000138282776,0.6535999774932861
5,0,0.7073000073432922,0.6191999912261963
5,3,0.671999990940094,0.5827999711036682
5,1,0.7175999879837036,0.6132000088691711
6,2,0.7479000091552734,0.628000020980835
6,1,0.7773000001907349,0.6531999707221985
6,3,0.7649000287055969,0.6632000207901001
6,0,0.7386000156402588,0.6236000061035156
7,2,0.767300009727478,0.6668000221252441
7,0,0.7972000241279602,0.6480000019073486
7,3,0.8091999888420105,0.6583999991416931
7,1,0.6955999732017517,0.5824000239372253
8,2,0.8422999978065491,0.6908000111579895
8,0,0.8321999907493591,0.6872000098228455
8,3,0.8565000295639038,0.7044000029563904
8,1,0.8471999764442444,0.704800009727478
9,0,0.8320000171661377,0.6783999800682068
9,2,0.8705999851226807,0.7016000151634216
9,3,0.8082000017166138,0.6632000207901001
9,1,0.8589000105857849,0.6876000165939331
10,2,0.8237000107765198,0.6611999869346619
10,0,0.9031999707221985,0.7164000272750854
10,1,0.8704000115394592,0.670799970626831
10,3,0.8815000057220459,0.7003999948501587
11,3,0.8543999791145325,0.6692000031471252
11,2,0.8858000040054321,0.6908000111579895
11,1,0.8324999809265137,0.6624000072479248
11,0,0.8518000245094299,0.6660000085830688
12,2,0.8812999725341797,0.7056000232696533
12,1,0.8285999894142151,0.6412000060081482
12,0,0.9128999710083008,0.7067999839782715
12,3,0.9104999899864197,0.7103999853134155
13,0,0.7915999889373779,0.6055999994277954
13,3,0.8974999785423279,0.6827999949455261
13,2,0.9185000061988831,0.7135999798774719
13,1,0.8863000273704529,0.6876000165939331
14,0,0.9294999837875366,0.7135999798774719
14,2,0.9453999996185303,0.7480000257492065
14,1,0.8478000164031982,0.6643999814987183
14,3,0.9345999956130981,0.7296000123023987
15,2,0.9020000100135803,0.7044000029563904
15,0,0.9366000294685364,0.7315999865531921
15,3,0.913100004196167,0.7059999704360962
15,1,0.8478999733924866,0.6507999897003174
