Round,Client_ID,Train_Acc,Test_Acc
1,0,0.7106000185012817,0.6176000237464905
1,1,0.7480999827384949,0.6660000085830688
1,2,0.7545999884605408,0.6815999746322632
1,3,0.7372000217437744,0.659600019454956
2,0,0.8783000111579895,0.7771999835968018
2,2,0.870199978351593,0.7847999930381775
2,1,0.8650000095367432,0.7692000269889832
2,3,0.8572999835014343,0.7620000243186951
3,0,0.8992000222206116,0.7904000282287598
3,3,0.902400016784668,0.7832000255584717
3,1,0.885200023651123,0.7752000093460083
3,2,0.9023000001907349,0.8055999875068665
4,0,0.927299976348877,0.8108000159263611
4,1,0.9412999749183655,0.8208000063896179
4,3,0.9498000144958496,0.8371999859809875
4,2,0.9304999709129333,0.8163999915122986
5,2,0.9412000179290771,0.8392000198364258
5,0,0.9549000263214111,0.8375999927520752
5,1,0.954800009727478,0.8295999765396118
5,3,0.9456999897956848,0.8303999900817871
6,1,0.9452999830245972,0.8356000185012817
6,3,0.9419999718666077,0.8167999982833862
6,2,0.9584000110626221,0.8511999845504761
6,0,0.9641000032424927,0.8416000008583069
7,1,0.9445000290870667,0.8284000158309937
7,3,0.9638000130653381,0.8452000021934509
7,2,0.9519000053405762,0.8471999764442444
7,0,0.9627000093460083,0.8511999845504761
8,2,0.9476000070571899,0.8356000185012817
8,0,0.9490000009536743,0.8295999765396118
8,3,0.9635000228881836,0.8452000021934509
8,1,0.9717000126838684,0.8464000225067139
9,1,0.9563999772071838,0.8276000022888184
9,2,0.951200008392334,0.8492000102996826
9,3,0.9616000056266785,0.8432000279426575
9,0,0.9508000016212463,0.8335999846458435
10,1,0.9635999798774719,0.8500000238418579
10,3,0.9509999752044678,0.8295999765396118
10,2,0.965399980545044,0.8424000144004822
10,0,0.975600004196167,0.8543999791145325
11,2,0.9786999821662903,0.8644000291824341
11,0,0.9865000247955322,0.8740000128746033
11,3,0.9768999814987183,0.8619999885559082
11,1,0.9187999963760376,0.8087999820709229
12,2,0.9889000058174133,0.8704000115394592
12,1,0.9954000115394592,0.876800000667572
12,0,0.9747999906539917,0.8596000075340271
12,3,0.9861999750137329,0.8500000238418579
13,1,0.9797999858856201,0.8564000129699707
13,3,0.9972000122070312,0.8812000155448914
13,0,0.9905999898910522,0.8840000033378601
13,2,0.9969000220298767,0.8992000222206116
14,2,0.9909999966621399,0.8795999884605408
14,1,0.9710000157356262,0.8416000008583069
14,0,0.9912999868392944,0.876800000667572
14,3,0.9954000115394592,0.8787999749183655
15,2,0.9617000222206116,0.8640000224113464
15,0,0.9976000189781189,0.8823999762535095
15,3,0.9950000047683716,0.8744000196456909
15,1,0.986299991607666,0.8736000061035156
16,0,0.9854999780654907,0.8659999966621399
16,1,0.9998000264167786,0.896399974822998
16,2,0.987500011920929,0.8820000290870667
16,3,0.9944000244140625,0.881600022315979
