client,round,epoch,steps_this,seen_ep,acc,epoch_time
1,1,1,200,25600,0.392400,3.8416
1,2,1,200,25600,0.468200,4.4065
1,3,1,200,25600,0.486100,4.2526
2,1,1,200,25600,0.473000,3.8866
2,2,1,200,25600,0.423900,3.4009
2,3,1,200,25600,0.457700,4.0630
